city,enroll,name,rate,state
Holland,3132,Hope College,78%,MI
Bedford Park,308,Fox College Inc,77.7%,IL
Santa Barbara,1238,Westmont College,77.3%,CA
San Diego,9041,University of San Diego,77.9%,CA
Santa Cruz,19841,University of California Santa Cruz,77.8%,CA
Orange,9991,Chapman University,77%,CA
Houma,160,Blue Cliff College Houma,76.5%,LA
Burlington,13826,University of Vermont,76.2%,VT
Watertown,2190,Lake Area Technical Institute,76.5%,SD
Monessen,206,Douglas Education Center,76.3%,PA
Phoenix,129,CollegeAmerica Phoenix,39.5%,AZ
Augusta,505,Miller Motte Technical College,39.7%,GA
Rogers,15,Bryan University,39.2%,AR
Richmond,440,Virginia College,39.2%,VA
Cedar Hill,255,Northwood University Texas,39.6%,TX
Madison,2939,Herzing University Madison,39.3%,WI
Fond du Lac,3269,Moraine Park Technical College,39.8%,WI
Joplin,140,Vatterott College Joplin,39.4%,MO
Manitowoc,444,Silver Lake College of the Holy Family,39.7%,WI
Madison,3219,Dakota State University,39.5%,SD
Vidalia,1673,Southeastern Technical College,39.3%,GA
Spartanburg,5438,University of South Carolina Upstate,39.3%,SC
Misenheimer,1122,Pfeiffer University,39.1%,NC
Cleveland,15308,Cleveland State University,39%,OH
Winston Salem,691,Piedmont International University,39.2%,NC
Greenville,845,Thiel College,39.1%,PA
Elizabeth City,2054,Elizabeth City State University,39%,NC
Dayton,10295,Wright State University Main Campus,39.4%,OH
Santa Paula,497,Thomas Aquinas College,80.1%,CA
New Brunswick,50804,Rutgers University New Brunswick,80.6%,NJ
Worcester,3350,Clark University,80.2%,MA
Bronx,16986,Fordham University,80.3%,NY
Fairfield,5826,Fairfield University,80.8%,CT
Geneva,1684,Hobart William Smith Colleges,80.1%,NY
Notre Dame,1527,Saint Mary's College,80.1%,IN
Houston,55,Texas County Technical College,79.1%,MO
Syosset,327,New York College of Health Professions,79.4%,NY
Milwaukee,11320,Marquette University,79.5%,WI
Provo,34811,Brigham Young University Provo,79.7%,UT
College Station,72530,Texas A & M University College Station,79.1%,TX
Spartanburg,1765,Wofford College,79.4%,SC
Collegeville,1556,Ursinus College,79.2%,PA
Johnstown,89,Commonwealth Technical Institute,79.2%,PA
Portland,4033,University of Portland,79.2%,OR
New York,348,Jewish Theological Seminary of America,82.6%,NY
New York,936,Cooper Union for the Advancement of Science and Art,82.7%,NY
Kalamazoo,1241,Kalamazoo College,82.5%,MI
Geneseo,4535,SUNY at Geneseo,79.9%,NY
Oxford,19264,Miami University,79.5%,OH
South Hadley,2342,Mount Holyoke College,82.8%,MA
El Paso,1432,Southwest Career College,81.8%,TX
Richmond,177,Centura College Richmond Main,81.6%,VA
Beloit,1011,Beloit College,81%,WI
Lakewood,22,Colorado School of Healing Arts,81.4%,CO
San Antonio,2704,Trinity University,81.9%,TX
North Hollywood,2581,West Coast University Los Angeles,81%,CA
Brooklyn,462,Rabbinical College Bobover Yeshiva Bnei Zion,81.3%,NY
Memphis,2073,Rhodes College,81.4%,TN
Clemson,27341,Clemson University,81.5%,SC
Elon,7127,Elon University,82%,NC
Hoboken,8287,Stevens Institute of Technology,81.9%,NJ
Troy,6774,Rensselaer Polytechnic Institute,81.7%,NY
Pittsburgh,33230,University of Pittsburgh Pittsburgh Campus,81.8%,PA
Anaheim,366,Bethesda University of California,79.2%,CA
Davis,40050,University of California Davis,84.2%,CA
Saint Peter,2251,Gustavus Adolphus College,81.7%,MN
Greenville,2463,Furman University,83.5%,SC
Seattle,52434,University of Washington Seattle Campus,83.9%,WA
Gettysburg,2401,Gettysburg College,83.6%,PA
Malibu,10446,Pepperdine University,84.1%,CA
Bryn Mawr,1778,Bryn Mawr College,83.4%,PA
Saint Joseph,1557,College of Saint Benedict,83.1%,MN
New York,58226,New York University,83.5%,NY
New Orleans,14047,Tulane University,83.1%,LA
Boston,28167,Northeastern University,83%,MA
Atlanta,43859,Georgia Institute of Technology Main Campus,83.2%,GA
Aliso Viejo,445,Soka University of America,82.3%,CA
New London,1829,Connecticut College,83.1%,CT
Spokane,7381,Gonzaga University,82.9%,WA
