city,enroll,name,rate,state
Holland,3132,Hope College,78%,MI
Bedford Park,308,Fox College Inc,77.7%,IL
Santa Barbara,1238,Westmont College,77.3%,CA
San Diego,9041,University of San Diego,77.9%,CA
Santa Cruz,19841,University of California Santa Cruz,77.8%,CA
Orange,9991,Chapman University,77%,CA
Houma,160,Blue Cliff College Houma,76.5%,LA
Burlington,13826,University of Vermont,76.2%,VT
Watertown,2190,Lake Area Technical Institute,76.5%,SD
Monessen,206,Douglas Education Center,76.3%,PA
Phoenix,129,CollegeAmerica Phoenix,39.5%,AZ
Augusta,505,Miller Motte Technical College,39.7%,GA
Rogers,15,Bryan University,39.2%,AR
Richmond,440,Virginia College,39.2%,VA
Cedar Hill,255,Northwood University Texas,39.6%,TX
Madison,2939,Herzing University Madison,39.3%,WI
Fond du Lac,3269,Moraine Park Technical College,39.8%,WI
Joplin,140,Vatterott College Joplin,39.4%,MO
Manitowoc,444,Silver Lake College of the Holy Family,39.7%,WI
Madison,3219,Dakota State University,39.5%,SD
Vidalia,1673,Southeastern Technical College,39.3%,GA
Spartanburg,5438,University of South Carolina Upstate,39.3%,SC
Misenheimer,1122,Pfeiffer University,39.1%,NC
Cleveland,15308,Cleveland State University,39%,OH
Winston Salem,691,Piedmont International University,39.2%,NC
Greenville,845,Thiel College,39.1%,PA
Elizabeth City,2054,Elizabeth City State University,39%,NC
Dayton,10295,Wright State University Main Campus,39.4%,OH
Santa Paula,497,Thomas Aquinas College,80.1%,CA
New Brunswick,50804,Rutgers University New Brunswick,80.6%,NJ
Worcester,3350,Clark University,80.2%,MA
Bronx,16986,Fordham University,80.3%,NY
Fairfield,5826,Fairfield University,80.8%,CT
Geneva,1684,Hobart William Smith Colleges,80.1%,NY
Notre Dame,1527,Saint Mary's College,80.1%,IN
Houston,55,Texas County Technical College,79.1%,MO
Syosset,327,New York College of Health Professions,79.4%,NY
Milwaukee,11320,Marquette University,79.5%,WI
Provo,34811,Brigham Young University Provo,79.7%,UT
College Station,72530,Texas A & M University College Station,79.1%,TX
Spartanburg,1765,Wofford College,79.4%,SC
Collegeville,1556,Ursinus College,79.2%,PA
Johnstown,89,Commonwealth Technical Institute,79.2%,PA
Portland,4033,University of Portland,79.2%,OR
New York,348,Jewish Theological Seminary of America,82.6%,NY
New York,936,Cooper Union for the Advancement of Science and Art,82.7%,NY
Kalamazoo,1241,Kalamazoo College,82.5%,MI
Geneseo,4535,SUNY at Geneseo,79.9%,NY
Oxford,19264,Miami University,79.5%,OH
South Hadley,2342,Mount Holyoke College,82.8%,MA
El Paso,1432,Southwest Career College,81.8%,TX
Richmond,177,Centura College Richmond Main,81.6%,VA
Beloit,1011,Beloit College,81%,WI
Lakewood,22,Colorado School of Healing Arts,81.4%,CO
San Antonio,2704,Trinity University,81.9%,TX
North Hollywood,2581,West Coast University Los Angeles,81%,CA
Brooklyn,462,Rabbinical College Bobover Yeshiva Bnei Zion,81.3%,NY
Memphis,2073,Rhodes College,81.4%,TN
Clemson,27341,Clemson University,81.5%,SC
Elon,7127,Elon University,82%,NC
Hoboken,8287,Stevens Institute of Technology,81.9%,NJ
Troy,6774,Rensselaer Polytechnic Institute,81.7%,NY
Pittsburgh,33230,University of Pittsburgh Pittsburgh Campus,81.8%,PA
Anaheim,366,Bethesda University of California,79.2%,CA
Davis,40050,University of California Davis,84.2%,CA
Saint Peter,2251,Gustavus Adolphus College,81.7%,MN
Greenville,2463,Furman University,83.5%,SC
Seattle,52434,University of Washington Seattle Campus,83.9%,WA
Gettysburg,2401,Gettysburg College,83.6%,PA
Malibu,10446,Pepperdine University,84.1%,CA
Bryn Mawr,1778,Bryn Mawr College,83.4%,PA
Saint Joseph,1557,College of Saint Benedict,83.1%,MN
New York,58226,New York University,83.5%,NY
New Orleans,14047,Tulane University,83.1%,LA
Boston,28167,Northeastern University,83%,MA
Atlanta,43859,Georgia Institute of Technology Main Campus,83.2%,GA
Aliso Viejo,445,Soka University of America,82.3%,CA
New London,1829,Connecticut College,83.1%,CT
Spokane,7381,Gonzaga University,82.9%,WA
Knoxville,88,Fountainhead College of Technology,82.5%,TN
Harrisonburg,22166,James Madison University,82.5%,VA
Blacksburg,37279,Virginia Tech,83%,VA
Bronxville,1766,Sarah Lawrence College,78.3%,NY
Steubenville,3415,Franciscan University of Steubenville,78%,OH
Ramsey,680,Eastwick College,78.4%,NJ
Poughkeepsie,6396,Marist College,78.2%,NY
Omaha,8735,Creighton University,78.3%,NE
Collegeville,1643,Saint Johns University,78.6%,MN
East Lansing,49659,Michigan State University,78%,MI
Newark,23996,University of Delaware,78.9%,DE
Norton,1701,Wheaton College,78.2%,MA
Galesburg,1156,Knox College,78.9%,IL
Colchester,1573,Saint Michael's College,77.6%,VT
Dallas,12385,Southern Methodist University,78%,TX
Dayton,11971,University of Dayton,77.3%,OH
Los Angeles,10184,Loyola Marymount University,78.5%,CA
Tacoma,2173,University of Puget Sound,77.2%,WA
Virginia Beach,113,Centura College Virginia Beach,77.7%,VA
Orlando,77,Centura Institute,77.8%,FL
Columbus,324,Bradford School,77.1%,OH
Baltimore,5140,Loyola University Maryland,81.4%,MD
Greencastle,1724,DePauw University,81%,IN
Bloomington,1653,Illinois Wesleyan University,81.7%,IL
Coral Gables,19096,University of Miami,81.3%,FL
Washington,26457,George Washington University,81.3%,DC
Washington,14852,American University,81.4%,DC
Storrs,26876,University of Connecticut,81.9%,CT
Santa Barbara,26124,University of California Santa Barbara,81.1%,CA
Draper,2173,AmeriTech College Draper,80.1%,UT
Jacksonville,20,Southeastern College,80%,FL
Austin,51991,The University of Texas at Austin,80.1%,TX
San Antonio,1549,Career Point College,81%,TX
Scranton,4692,University of Scranton,80.2%,PA
Cleveland,12142,Case Western Reserve University,80.9%,OH
Syracuse,21772,Syracuse University,80.9%,NY
Vestal,18055,SUNY at Binghamton,80.9%,NY
Granville,2321,Denison University,80.8%,OH
Lincoln,14,Myotherapy Institute,87.5%,NE
Portland,1566,Reed College,80.6%,OR
Signal Hill,504,American University of Health Sciences,87%,CA
Oberlin,2953,Oberlin College,87.7%,OH
Chandler,107,Golf Academy of America Chandler,87.1%,AZ
Albuquerque,49,Southwest University of Visual Arts Albuquerque,87.8%,NM
Walla Walla,1559,Whitman College,87.3%,WA
Providence,2576,Rhode Island School of Design,87.9%,RI
Bethlehem,7263,Lehigh University,87.5%,PA
New York,979,The Juilliard School,87.7%,NY
Myrtle Beach,160,Golf Academy of America Myrtle Beach,84%,SC
Gainesville,55781,University of Florida,87%,FL
Boston,827,The New England Conservatory of Music,85.6%,MA
Grinnell,1748,Grinnell College,87.7%,IA
College Park,41272,University of Maryland College Park,85.6%,MD
Jeffersonville,271,Mid America College of Funeral Service,85.5%,IN
Madison,47016,University of Wisconsin Madison,84.3%,WI
Amityville,52,Island Drafting and Technical Institute,84.5%,NY
Memphis,353,William Moore College of Technology,84.6%,TN
Carlisle,2186,Dickinson College,84.5%,PA
Worcester,7230,Worcester Polytechnic Institute,85%,MA
Roseville,135,Minneapolis Business College,85%,MN
Easton,2479,Stonehill College,84.6%,MA
Boston,36104,Boston University,85%,MA
Athens,40118,University of Georgia,84.9%,GA
Danville,1320,Centre College,84.3%,KY
Hartford,2190,Trinity College,84.9%,CT
Carlsbad,118,Golf Academy of America Carlsbad,84.4%,CA
Champaign,56607,University of Illinois at Urbana Champaign,84.7%,IL
Santa Clara,8918,Santa Clara University,84.8%,CA
Claremont,1168,Pitzer College,87%,CA
Hialeah,133,College of Business and Technology Hialeah,86.1%,FL
Irvine,36505,University of California Irvine,87.2%,CA
Lancaster,2145,Franklin and Marshall College,86.8%,PA
Schenectady,2096,Union College,86.8%,NY
University of Richmond,3890,University of Richmond,86.2%,VA
Northampton,2924,Smith College,86.7%,MA
Colorado Springs,2266,Colorado College,86.9%,CO
New York,5501,Yeshiva University,86.5%,NY
Saratoga Springs,2686,Skidmore College,86.4%,NY
Providence,4671,Providence College,85.5%,RI
Los Angeles,1964,Occidental College,86.5%,CA
University Park,88914,Penn State Main Campus,85.9%,PA
La Jolla,41885,University of California San Diego,86.7%,CA
Rochester,12039,University of Rochester,86%,NY
Canton,2279,St Lawrence University,85.7%,NY
Parkersburg,20,Mountain State College,89.8%,WV
Lexington,2238,Washington and Lee University,89.3%,VA
Ewing,7589,The College of New Jersey,85.6%,NJ
Allentown,2095,Muhlenberg College,85.6%,PA
Claremont,905,Harvey Mudd College,91%,CA
Villanova,10870,Villanova University,89.9%,PA
Easton,2725,Lafayette College,90%,PA
Pittsburgh,146,Dean Institute of Technology,89.4%,PA
New York,3043,Barnard College,89.8%,NY
Lewisburg,3757,Bucknell University,89.2%,PA
Saint Paul,2244,Macalester College,89.8%,MN
Wellesley,3684,Babson College,89.5%,MA
Wheaton,3047,Wheaton College,89.2%,IL
Apopka,115,Golf Academy of America Altamonte Springs,88.9%,FL
Atlanta,14779,Emory University,89.1%,GA
Miami,123,College of Business and Technology Flagler,88.3%,FL
Greensburg,133,Triangle Tech Inc Greensburg,88.4%,PA
Chicago,18832,University of Chicago,92.3%,IL
Pittsburgh,15057,Carnegie Mellon University,88%,PA
Gambier,1875,Kenyon College,88.3%,OH
Winston Salem,8947,Wake Forest University,88.2%,NC
Brunswick,1951,Bowdoin College,92.9%,ME
Tucson,125,Southwest University of Visual Arts Tucson,92.4%,AZ
Houston,8285,Rice University,91.6%,TX
Poughkeepsie,2516,Vassar College,91.2%,NY
Clinton,2055,Hamilton College,91.6%,NY
Cambridge,11934,Massachusetts Institute of Technology,91.6%,MA
Chestnut Hill,15577,Boston College,91.9%,MA
Los Angeles,49318,University of Southern California,91.6%,CA
Claremont,1422,Claremont McKenna College,91.2%,CA
Los Angeles,46116,University of California Los Angeles,91%,CA
Berkeley,45036,University of California Berkeley,91.1%,CA
Pasadena,2397,California Institute of Technology,91.2%,CA
Williamsburg,9517,College of William and Mary,90.3%,VA
Chapel Hill,31641,University of North Carolina at Chapel Hill,90.2%,NC
Hamilton,3176,Colgate University,91%,NY
Ann Arbor,50278,University of Michigan,90.5%,MI
Washington,20935,Georgetown University,94.4%,DC
Needham,382,Olin College of Engineering,93.8%,MA
Charlottesville,26005,University of Virginia Main Campus,93.7%,VA
Davidson,1973,Davidson College,93.1%,NC
Ithaca,25582,Cornell University,93.3%,NY
Saint Louis,16973,Washington University in St Louis,93.8%,MO
Northfield,2044,Carleton College,93.8%,MN
Middletown,3581,Wesleyan University,93.6%,CT
Claremont,1764,Pomona College,93.5%,CA
Nashville,13796,Vanderbilt University,92.4%,TN
Haverford,1420,Haverford College,92%,PA
New York,900,Swedish Institute a College of Health Sciences,92.2%,NY
Baltimore,32049,Johns Hopkins University,93.4%,MD
Evanston,23409,Northwestern University,93%,IL
Waterville,2262,Colby College,92.1%,ME
Arundel,53,Landing School of Boat Building and Design,100%,ME
Medford,13293,Tufts University,92.9%,MA
Wellesley,2461,Wellesley College,92.3%,MA
Worcester,3029,College of the Holy Cross,92%,MA
Cambridge,31345,Harvard University,97.6%,MA
Omaha,14,Universal College of Healing Arts,98.1%,NE
Notre Dame,13139,University of Notre Dame,96.1%,IN
Providence,10696,Brown University,96%,RI
Princeton,8478,Princeton University,96.8%,NJ
Philadelphia,28038,University of Pennsylvania,95.5%,PA
Williamstown,2224,Williams College,95.5%,MA
New Haven,14567,Yale University,96.5%,CT
Middlebury,2937,Middlebury College,94.2%,VT
Durham,554,Apex School of Theology,94%,NC
Stanford,17680,Stanford University,94.2%,CA
Swarthmore,1651,Swarthmore College,94%,PA
Amherst,1971,Amherst College,94.6%,MA
New York,33776,Columbia University in the City of New York,94.9%,NY
Big Stone Gap,2079,Mountain Empire Community College,36%,VA
Hanover,6761,Dartmouth College,94.7%,NH
Durham,17620,Duke University,94.9%,NC
Lyndonville,1147,Lyndon State College,36.7%,VT
Odessa,5534,The University of Texas of the Permian Basin,36.8%,TX
Greeneville,1494,Tusculum College,36.1%,TN
Clarksville,9609,Austin Peay State University,36.4%,TN
Charleston,3341,Charleston Southern University,36.7%,SC
Philadelphia,875,Peirce College,36.1%,PA
Media,549,Pennsylvania Institute of Technology,37%,PA
Newark,2730,Ohio State University Newark Campus,36.5%,OH
Rio Grande,1868,University of Rio Grande,36.8%,OH
Pembroke,8318,University of North Carolina at Pembroke,36.4%,NC
Buffalo,452,Villa Maria College,36.7%,NY
Albany,363,Bryant and Stratton College Albany,36.5%,NY
Flushing,1290,Vaughn College of Aeronautics and Technology,36.9%,NY
Peru,2067,Peru State College,36.6%,NE
Lexington,704,Wentworth Military Academy & Junior College,36%,MO
Scooba,3277,East Mississippi Community College,36.8%,MS
Hancock,424,Finlandia University,36.8%,MI
Ironwood,857,Gogebic Community College,36.2%,MI
Brookline,636,Newbury College Brookline,36.5%,MA
Austin,3276,Riverland Community College,36.5%,MN
Boston,1038,Laboure College,36.2%,MA
Thief River Falls,2716,Northland Community and Technical College,36.2%,MN
Paxton,1521,Anna Maria College,36.4%,MA
Liberal,1664,Seward County Community College and Area Technical School,37%,KS
Ephraim,6106,Snow College,37.8%,UT
Bowie,6308,Bowie State University,36.9%,MD
Owensboro,14,Daymar College Owensboro,36.6%,KY
Madisonville,3239,Madisonville Community College,36.4%,KY
San Antonio,2550,Our Lady of the Lake University San Antonio,37.5%,TX
Williamsburg,19272,University of the Cumberlands,36.4%,KY
Gallipolis,54,Gallipolis Career College,37.2%,OH
Orangeburg,2374,South Carolina State University,37.3%,SC
Austin,2137,Concordia University Texas,37.2%,TX
Corpus Christi,10762,Texas A & M University Corpus Christi,37.4%,TX
Urbana,587,Urbana University,37.5%,OH
Elizabeth City,145,Mid Atlantic Christian University,37.1%,NC
Cleveland,1522,Notre Dame College,37.7%,OH
Banner Elk,873,Lees McRae College,37.3%,NC
Greensboro,875,Greensboro College,37.8%,NC
Bronx,14392,CUNY Lehman College,37.4%,NY
Forest Hills,471,Bramson ORT College,37.3%,NY
Alcorn State,3074,Alcorn State University,37.2%,MS
Lodi,2411,Felician College,37.5%,NJ
New York,15210,CUNY John Jay College of Criminal Justice,37%,NY
Rochester,96,Crossroads College,37.9%,MN
Virginia,885,Mesabi Range Community and Technical College,37.2%,MN
Campbellsville,10238,Campbellsville University,38%,KY
Wichita,1692,Friends University,38.1%,KS
Leavenworth,1280,University of Saint Mary,38%,KS
Hilo,3243,University of Hawaii at Hilo,38.6%,HI
Creston,1542,Southwestern Community College,38%,IA
Lake Wales,907,Warner University,38.7%,FL
Niceville,4697,Northwest Florida State College,38.6%,FL
Palatka,6318,Saint Johns River State College,38.3%,FL
Miami Gardens,5921,St. Thomas University,38.6%,FL
Sanford,15315,Seminole State College of Florida,38.1%,FL
Miami Gardens,1028,Florida Memorial University,39%,FL
Trinidad,1500,Trinidad State Junior College,38.8%,CO
Columbus,61677,Ohio State University,83.3%,OH
Middletown,5862,Lord Fairfax Community College,37.4%,VA
Madisonville,16,Daymar College Madisonville,37.4%,KY
Mountain Home,1246,Arkansas State University Mountain Home,37.2%,AR
Florence,8526,University of North Alabama,38.3%,AL
Pleasant Hill,17123,Diablo Valley College,38.3%,CA
Altamonte Springs,218,City College Altamonte Springs,37.5%,FL
Brookline,94,The New England Institute of Art,37%,MA
Pikeville,2269,University of Pikeville,37.3%,KY
Takoma Park,785,Washington Adventist University,37.6%,MD
Baltimore,3710,University of Baltimore,37.4%,MD
Hammond,13456,Southeastern Louisiana University,37.5%,LA
Natchitoches,10735,Northwestern State University of Louisiana,37.9%,LA
Laurel,796,Capitol College,37.1%,MD
New Orleans,1202,Dillard University,37.6%,LA
Ottawa,879,Ottawa University Ottawa,37.9%,KS
Fort Pierce,14461,Indian River State College,37.6%,FL
Danville,2032,Danville Area Community College,37.7%,IL
Boise,25794,Boise State University,37.1%,ID
Valdosta,11557,Valdosta State University,37.6%,GA
Lamar,696,Lamar Community College,37.2%,CO
Vancleve,81,Kentucky Mountain Bible College,37.8%,KY
Rancho Palos Verdes,514,Marymount California University,37.9%,CA
Mobile,13992,University of South Alabama,37.1%,AL
McKeesport,462,Penn State Greater Allegheny,38.2%,PA
Ashland,5179,Southern Oregon University,38.4%,OR
Bethany,482,Southwestern Christian University,38.2%,OK
Edmond,13250,University of Central Oklahoma,38.1%,OK
Tiffin,2934,Tiffin University,38.2%,OH
Williston,908,Williston State College,38.2%,ND
Devils Lake,1621,Lake Region State College,39%,ND
Raleigh,742,William Peace University,38.8%,NC
Saint Clairsville,1204,Ohio University Eastern Campus,38.2%,OH
Old Westbury,4381,SUNY College at Old Westbury,38.9%,NY
New Boston,26,Daymar College New Boston,38.6%,OH
Concord,557,Cabarrus College of Health Sciences,38.1%,NC
New York,457,Mandl The College of Allied Health,38%,NY
Woodbury,547,Globe University Woodbury,38.4%,MN
Highland Heights,15979,Northern Kentucky University,38.1%,KY
Ypsilanti,15340,Eastern Michigan University,38.3%,MI
East Hartford,3258,Goodwin College,39.2%,CT
Grayson,674,Kentucky Christian University,38.6%,KY
Great Falls,888,University of Great Falls,38.4%,MT
Gunnison,3689,Western State Colorado University,39.1%,CO
Durango,3567,Fort Lewis College,39.4%,CO
Little Rock,710,Philander Smith College,39.4%,AR
Macon,298,Virginia College,38.8%,GA
Macon,249,Miller Motte Technical College Macon,38.1%,GA
Jonesboro,12863,Arkansas State University Main Campus,39.7%,AR
Saint Louis,130,L'Ecole Culinaire,38%,MO
Bakersfield,10972,California State University Bakersfield,39.9%,CA
Brooklyn,411,Yeshiva of Machzikai Hadas,38.9%,NY
Charleston,240,Miller Motte Technical College North Charleston,38.9%,SC
Fort Myers,1294,Southwest Florida College,38.9%,FL
Milwaukee,1822,Alverno College,38.5%,WI
Orchard Park,195,Bryant and Stratton College Southtowns,38.2%,NY
El Paso,24003,The University of Texas at El Paso,38.9%,TX
Rutland,227,College of St Joseph,38.2%,VT
Fort Worth,2531,Texas Wesleyan University,38%,TX
Belmont,1517,Belmont Abbey College,40.8%,NC
Brevard,780,Brevard College,40.4%,NC
Mount Olive,2288,Mount Olive College,40.9%,NC
Houston,4120,Houston Baptist University,39%,TX
New York,11222,Touro College,40.9%,NY
New York,399,New York Career Institute,40.5%,NY
Florissant,62,Saint Louis Christian College,40.7%,MO
Miles City,555,Miles Community College,40.1%,MT
Saint Louis,4983,Missouri Baptist University,40.7%,MO
Brainerd,4448,Central Lakes College Brainerd,40.4%,MN
University Center,7523,Saginaw Valley State University,40.2%,MI
Newton,1555,Mount Ida College,40.1%,MA
Louisville,1562,Spalding University,40.4%,KY
Presque Isle,596,Northern Maine Community College,40.5%,ME
Monroe,8718,University of Louisiana Monroe,40.7%,LA
Owensboro,811,Kentucky Wesleyan College,40.1%,KY
Sterling,700,Sterling College,41%,KS
Emporia,5615,Emporia State University,40.2%,KS
Pippa Passes,613,Alice Lloyd College,40.1%,KY
Lincoln University,1916,Lincoln University of Pennsylvania,41.9%,PA
Media,1351,Penn State Brandywine,41.9%,PA
Lancaster,228,Pennsylvania College of Art and Design,41.1%,PA
Erie,194,Fortis Institute Erie,41%,PA
Celina,1444,Wright State University Lake Campus,42%,OH
Dillon,1399,The University of Montana Western,41.7%,MT
Wahpeton,2802,North Dakota State College of Science,41.5%,ND
Minot,2836,Minot State University,41.6%,ND
White Plains,873,The College of Westchester,41.2%,NY
Delhi,2634,SUNY College of Technology at Delhi,41.4%,NY
Tucumcari,745,Mesalands Community College,41.2%,NM
Butte,1683,Montana Tech of the University of Montana,41.3%,MT
Akron,14498,University of Akron Main Campus,41.2%,OH
Saint Louis,15189,University of Missouri St Louis,41.3%,MO
Hannibal,714,Hannibal LaGrange University,41.3%,MO
Conception,27,Conception Seminary College,41.8%,MO
Columbia,6765,Columbia College,41.3%,MO
Jackson,7080,Jackson State University,41.5%,MS
Carlinville,414,Blackburn College,40.1%,IL
Jacksonville,365,Trinity Baptist College,40.6%,FL
West Palm Beach,345,Lincoln College of Technology West Palm Beach,40.4%,FL
Lakeland,9365,Southeastern University,40.6%,FL
Franklin Springs,918,Emmanuel College,40.7%,GA
Lake City,2792,Florida Gateway College,40.5%,FL
Jacksonville,3995,Jacksonville University,40.9%,FL
Costa Mesa,16779,Orange Coast College,40.1%,CA
Ocala,5331,College of Central Florida,40%,FL
Flagstaff,7,College America Flagstaff,40.2%,AZ
Madison,30,Miller Motte Technical College Madison,41.7%,TN
Moorhead,97,Minnesota School of Business Moorhead,41.1%,MN
Sharonville,34,Miami Jacobs Career College Sharonville,41.7%,OH
Talladega,1203,Talladega College,40.5%,AL
Springfield,2244,American International College,37.7%,MA
Saint Paul,376,McNally Smith College of Music,41%,MN
Bettendorf,48,Brown Mackie College Quad Cities,41.3%,IA
Elkins,661,Davis & Elkins College,41%,WV
Green Bay,10088,Northeast Wisconsin Technical College,42%,WI
Superior,2613,University of Wisconsin Superior,41.7%,WI
Philippi,828,Alderson Broaddus College,41.4%,WV
Kerrville,1103,Schreiner University,41.4%,TX
Chattanooga,11457,The University of Tennessee at Chattanooga,41.8%,TN
Nashville,335,Free Will Baptist Bible College,41%,TN
Aberdeen,577,Presentation College,41.7%,SD
Lebanon,2540,Cumberland University,41.1%,TN
Pulaski,876,Martin Methodist College,41.3%,TN
Aiken,3869,University of South Carolina Aiken,41%,SC
Florence,3923,Francis Marion University,41.5%,SC
Willmar,2846,Ridgewater College,41.7%,MN
Marshall,6986,Southwest Minnesota State University,41.3%,MN
New Orleans,3604,Xavier University of Louisiana,41.5%,LA
Olivet,885,Olivet College,41.5%,MI
Big Rapids,10361,Ferris State University,41.9%,MI
Thibodaux,6225,Nicholls State University,41.7%,LA
Lake Charles,6454,McNeese State University,41.1%,LA
Morehead,8982,Morehead State University,41.4%,KY
Marianna,1756,Chipola College,41.2%,FL
Richmond,13984,Eastern Kentucky University,41.4%,KY
Irvine,11045,Irvine Valley College,41.7%,CA
San Dimas,551,Life Pacific College,41.8%,CA
Hayward,15189,California State University East Bay,41.7%,CA
Atherton,745,Menlo College,41.7%,CA
Camden,984,Southern Arkansas University Tech,42%,AR
Batesville,579,Lyon College,41.5%,AR
Walnut Ridge,629,Williams Baptist College,41.4%,AR
Troy,18,Miami Jacobs Career College Troy,40.9%,OH
Onalaska,145,Globe University La Crosse,40.8%,WI
Birmingham,615,Herzing University Birmingham,41.2%,AL
Waite Park,141,Minnesota School of Business Waite Park,40.7%,MN
Charles Town,48298,American Public University System,40.9%,WV
Statesboro,2167,Ogeechee Technical College,40.4%,GA
Bridgeview,474,Northwestern College Southwestern Campus,40.4%,IL
Kansas City,260,Vatterott College Kansas City,40.9%,MO
Saint Joseph,66,Vatterott College Saint Joseph,40.1%,MO
Charleston,2926,University of Charleston,40.6%,WV
Staunton,2142,Mary Baldwin College,40.2%,VA
Canyon,9602,West Texas A & M University,40%,TX
Nashville,8077,Tennessee State University,40.2%,TN
Waxahachie,1843,Southwestern Assemblies of God University,40.9%,TX
Sioux Falls,2381,Southeast Technical Institute,40.9%,SD
Edinburg,31940,The University of Texas Pan American,40.7%,TX
Newberry,1242,Newberry College,40.1%,SC
Chambersburg,1405,Wilson College,40%,PA
Haverhill,250,Zion Bible College,40.6%,MA
York,648,York College,39.5%,NE
Las Vegas,30679,University of Nevada Las Vegas,39.8%,NV
Chadron,2250,Chadron State College,39.3%,NE
Moberly,170,Central Christian College of the Bible,39.3%,MO
Rochester Hills,1114,Rochester College,39.4%,MI
Grand Rapids,5384,Davenport University,39.2%,MI
Boston,42,Boston Baptist College,39.5%,MA
Hagerstown,494,Purdue Global Hagerstown Campus,39.3%,MD
Pineville,1135,Louisiana College,39.4%,LA
Paducah,4869,West Kentucky Community and Technical College,39.6%,KY
Coffeyville,1402,Coffeyville Community College,39.2%,KS
McPherson,570,Central Christian College of Kansas,39.7%,KS
Iola,2090,Allen County Community College,39.4%,KS
Tallahassee,9000,Florida Agricultural and Mechanical University,39.2%,FL
Carrollton,12687,University of West Georgia,39.9%,GA
Fayette,3031,Upper Iowa University,39.8%,IA
Atlanta,4055,Clark Atlanta University,39.9%,GA
Daytona Beach,2624,Bethune Cookman University,40%,FL
Chicago,6736,Columbia College Chicago,42.4%,IL
Avon Park,2777,South Florida Community College,42%,FL
Denver,24267,University of Colorado Denver,42.8%,CO
