Fri,Mon,Sat,Thu,Tue,Wed,city,email,name,phone,street,type,zip
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budaörs,budaors@unixauto.hu,Unix Budaörs,+36/23-428080,Kinizsi u.4-6,Distributor,2040
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Godollo,,Bárdi Autó Zrt.,3628814870,Dózsa Gy. út 160.,Distributor,2100
07:30 - 17:30,07:30 - 19:00,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3615771520,Wesselényi utca 9.,Distributor,1154
,,,,,,Gödöllő,ecowheels00@gmail.com,EcoWheels Kft Castrol SERVICE,36703383300,Dózsa György út 160.,Castrol SERVICE,2100
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szolnok,,Bárdi Autó Zrt.,3656374493,Szántó krt. 56.,Distributor,5000
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Alkotás utca 20-22.,Independent,1012
07:30 - 19:00,07:30 - 19:00,08:00 - 13:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,Budapest XIII.,info@unixauto.hu,Unix Bp.XIII.Ker.,+36/1-2708700,Frangepán u. 55-57.,Distributor,1139
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:03,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3614570180,Batthyány u. 24.,Distributor,1015
,,,,,,Budapest,hnh@hnhautoszerviz.hu,Castrol SERVICE HNH Kft.,+36 1 271 00 16,Aporháza utca 61.,Independent,1152
,,,,,,Budapest,hnh@hnhautoszerviz.hu,HNH Autószerviz Kft. Castrol SERVICE,+361 2710016,Aporháza u. 61.,Castrol SERVICE,1152
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest XV.,bp15ker@unixauto.hu,Unix Bp.XV.Ker.,+36/1-8038598,Rákos út 59.,Distributor,1152
,,,,,,Bag,topcarteam@gmail.hu,Castrol SERVICE Top Car Team Kft.,+36 702063885,Dózsa György út 2,Castrol SERVICE,2191
,,,,,,Budapest,kamiteam1@gmail.com,Castrol SERVICE Palla Autószerviz Kft.,+36 306702670,Chinoin utca 36.,Castrol SERVICE,1045
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Árpád Fejedelem útja 99.,Independent,1033
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Pusztaszeri út 15.,Independent,1025
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Érd (É),erd2@unixauto.hu,Unix Érd II.,+36/23-806390,Bem tér 1.,Distributor,2030
,,,,,,Solt,bzsof@tvnetwork.hu,Castrol SERVICE Bárdkai Kft.,,Vecsei út 11.,Castrol SERVICE,6320
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3612303173,Óceánárok utca 29.,Distributor,1048
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kiskunfélegyháza,,Bárdi Autó Zrt.,3676539832,Dr. Holló Lajos utca 74.,Distributor,6100
,,,,,,Budapest,info@autoszum.hu,Castrol SERVICE Auto-Szum Kft.,+36 705076983,Perényi Zsigmond utca 12.,Castrol SERVICE,1044
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Megyeri út 15./a,Independent,1044
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Veresegyház,veresegyhaz@unixauto.hu,Unix Veresegyház,+36/28-500143,Szadai út 18/C,Distributor,2112
,,,,,,Veresegyház,pz.szinkron@gmail.com,Castrol SERVICE Szinkron-Car Kft.,36309148484,Szadai u 11,Castrol SERVICE,2112
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest IV.,bp4ker@unixauto.hu,Unix Bp.IV.Ker.,+36/1-2454552,Váci út 83,Distributor,1044
08:00 - 17:00,08:00 - 17:00,08:00 - 13:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Budapest,aruhaz@langauto.hu,Láng Kft.,+36 1 451 9600,Óradna u. 12.,Distributor,1044
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kiskunfélegyháza,kiskunfelegyhaza@unixauto.hu,Unix Kiskunfélegyháza,+36/76-887274,Szegedi út 54.,Distributor,6100
,,,,,,Dunakeszi,info@autonyiri.hu,Castrol SERVICE Autónyiri Kft.,+36 303396764,Egressy utca 4.,Castrol SERVICE,2120
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest III. (É),bp3ker@unixauto.hu,Unix Bp III.Ker.,+36/1-4391592,Szentendrei út 255.,Distributor,1039
,,,,,,Dunakeszi,szerviz@idealauto.hu,Castrol Service Ideal Autó Szervíz Kft.,3627541441,Pallag u 13,Castrol SERVICE,2120
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Hatvan,hatvan@unixauto.hu,Unix Hatvan,+36/37-345640,Horváth Mihály út 69.,Distributor,3000
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Hatvan,hatvan@langauto.hu,Láng Kft.,+36 37 814 062,Horváth Mihály út 73.,Distributor,3000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Budapest,,Bárdi Autó Zrt.,3614391934,Mátyás király út 58.,Distributor,1039
,,,,,,Dunakeszi,officehu@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Pallag utca 43.,Distributor,2120
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Hatvan,,Bárdi Autó Zrt.,3637814520,Bibó István u.3.,Distributor,3000
08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,Budapest,imre.fazekas@akh.hu,Abroncs Kereskedőház Kft,+36 1 371 3333,Batthyány u. 70.,Independent,1039
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Dunakeszi,dunakeszi@unixauto.hu,Unix Dunakeszi,+36/27-887311,Fő út 24,Distributor,2120
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Solymár,solymar@unixauto.hu,Unix Solymár,+36/26-560263,Bécsi út 17/C,Distributor,2083
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kiskoros,,Bárdi Autó Zrt.,3678814500,Dózsa Gy.út 28.,Distributor,6200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szentendre,szentendre@unixauto.hu,Unix Szentendre,+36/26-889100,Dózsa György út 87.,Distributor,2000
,,,,,,Göd,info@essmotor.hu,Castrol SERVICE ESS Motor Kft,+36 305367175,Nemeskéri köz 1.,Castrol SERVICE,2131
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Soltvadkert,soltvadkert@unixauto.hu,Unix Soltvadkert,+36/78-886610,Kossuth u.110.,Distributor,6230
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Pilisvörösvár,,Bárdi Autó Zrt.,3626814630,Ipartelep u.2.,Distributor,2085
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Pilisvörösvár,pilisvorosvar@langauto.hu,Láng Kft.,+36 26 332 642,Szent László u. 10.,Distributor,2085
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Vác,vac@unixauto.hu,Unix Vác,+36/27-311290,Szent László út 11.,Distributor,2600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gyöngyös,,Bárdi Autó Zrt.,3637814597,Déli Külhatár út 2,Distributor,3200
08:00 - 17:00,08:00 - 17:00,08:00 - 13:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Vác,vac@langauto.hu,Láng Kft.,+36 27 307 840,Rádi út 1-3.,Distributor,2600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Sárbogárd,,Bárdi Autó Zrt.,3625620152,Ady Endre út 198,Distributor,7000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Sárbogárd,sarbogard@unixauto.hu,Unix Sárbogárd,+36/25-889101,Ady Endre út 210.,Distributor,7000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Gyöngyös,gyongyos@unixauto.hu,Unix Gyöngyös,+36/37-304249,Vásár utca 1.,Distributor,3200
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Vác,,Bárdi Autó Zrt.,3627814595,Kodály Zoltán út 2.,Distributor,2600
,,,,,,Székesfehérvár,szekesfehervar@autonet-group.com,Autonet Import Magyarország Kft.,+36 27 548 250,Zsurló u. 14. C épület,Distributor,8000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szentes,szentes@unixauto.hu,Unix Szentes,+36/63-311218,Alsórét 250/A,Distributor,6600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Paks,paks@unixauto.hu,Unix Paks,+36/75-889110,Nyárfa u. 1.,Distributor,7030
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Paks,,Bárdi Autó Zrt.,3675814050,Tolnai út 26.,Distributor,7030
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szentes,,Bárdi Autó Zrt.,3663814870,Csongárdi út 67.,Distributor,6600
,,,,,,Szentes,atti-14@vipmail.hu,Castrol SERVICE Pro-M-Car Kft.,36203935522,Jókai Mór utca 63.,Castrol SERVICE,6600
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Székesfehérvár,,Bárdi Autó Zrt.,3622505197,Szent Flórián krt. 4/A,Distributor,8000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kiskunhalas,kiskunhalas@unixauto.hu,Unix Kiskunhalas,+36/77-997001,Átlós u. 35-37.,Distributor,6400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Székesfehérvár,szekesfehervar@unixauto.hu,Unix Székesfehérvár,+36/22-500260,Zámolyi út 020022/110 HRSZ,Distributor,8000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Kiskunhalas,,Bárdi Autó Zrt.,3677814060,Szabadkai út 35.,Distributor,6400
,,,,,,Csolnok,szabiauto@gmail.com,Castrol SERVICE Szabi-Autó Kft,+36 202529760,Táncsics M. utca 4.,Castrol SERVICE,2521
08:00 - 17:00,08:00 - 17:00,08:00 - 12:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,Székesfehérvár,szekesfehervar@langauto.hu,Láng Kft.,+36 22 340 314,Móri út 154.,Distributor,8000
,,,,,,Székesfehérvár,t.csoko@osz-car.hu,Castrol SERVICE Osz-Car Szerviz,36302860478,Új Csóri út 7,Castrol SERVICE,8000
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szarvas,szarvas@unixauto.hu,Unix Szarvas,+36/66-510694,Vasút u. 31.,Distributor,5540
,,,,,,Mezőtúr,info@zohatrans.hu,Castrol SERVICE ZO-HA Trans Kft.,36305862020,Bem József u 2,Castrol SERVICE,5400
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Szarvas,,Bárdi Autó Zrt.,3666520021,Csabai út 1/2.,Distributor,5540
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Esztergom,esztergom@unixauto.hu,Unix Esztergom,+36/33-889108,Kertész utca 5.,Distributor,2500
07:30 - 17:30,07:30 - 17:30,08:00 - 13:00,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,Esztergom,,Bárdi Autó Zrt.,3633814060,Bánomi út 21003.hrsz.,Distributor,2500
